Legal Name,Physical Address,Phone,MC/MX/FF Number(s),Vehicle,Driver,General_Freight_Output
ALL GOOD TRANSPORTATION LLC,"8006 LAWRENCE WOODS CTINDIANAPOLIS, IN   46236",(317) 258-5985,MC-1218017,0,0,Yes
LOADING DOCK TRUCKING LLC,"3970 PLACITA AVELAS VEGAS, NV   89121",(702) 787-7478,MC-1218018,5,8,Yes
